,activity,end_time,exam_1_exercise_score,exam_2_exercise_score,exercise,idle_time,intermediate_grade,keystroke,mouse_click_left,mouse_click_right,mouse_movement,mouse_wheel,mouse_wheel_click,session_id,start_time,student_id
151,Study_Es_1_4,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=14, tm_min=26, tm_sec=34, tm_wday=3, tm_yday=275, tm_isdst=-1)",n/a,,Es_1_4,172480,n/a,0,2,0,109,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=14, tm_min=26, tm_sec=15, tm_wday=3, tm_yday=275, tm_isdst=-1)",28
152,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=9, tm_sec=5, tm_wday=3, tm_yday=289, tm_isdst=-1)",n/a,,Es_2_4,282,6.0,2,2,0,40,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=9, tm_sec=3, tm_wday=3, tm_yday=289, tm_isdst=-1)",28
153,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=7, tm_sec=22, tm_wday=3, tm_yday=296, tm_isdst=-1)",2.0,,Es_3_4,32141,4.0,2,2,0,210,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=7, tm_sec=13, tm_wday=3, tm_yday=296, tm_isdst=-1)",28
154,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=49, tm_sec=44, tm_wday=3, tm_yday=317, tm_isdst=-1)",n/a,,Es_4_5,15,5.0,2,0,0,197,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=49, tm_sec=41, tm_wday=3, tm_yday=317, tm_isdst=-1)",28
155,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=24, tm_sec=56, tm_wday=3, tm_yday=324, tm_isdst=-1)",n/a,,Es_5_4,203,4.0,0,0,0,138,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=24, tm_sec=55, tm_wday=3, tm_yday=324, tm_isdst=-1)",28
156,TextEditor_Es_6_3,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=9, tm_sec=59, tm_wday=3, tm_yday=345, tm_isdst=-1)",n/a,,Es_6_3,77,3.0,0,4,0,240,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=9, tm_sec=55, tm_wday=3, tm_yday=345, tm_isdst=-1)",28
157,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=55, tm_sec=49, tm_wday=3, tm_yday=289, tm_isdst=-1)",0.0,,Es_2_2,1952,4.0,0,4,0,200,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=55, tm_sec=46, tm_wday=3, tm_yday=289, tm_isdst=-1)",29
158,TextEditor_Es_3_4,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=59, tm_sec=32, tm_wday=3, tm_yday=296, tm_isdst=-1)",2.0,,Es_3_4,6857,3.0,0,4,0,781,112,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=59, tm_sec=16, tm_wday=3, tm_yday=296, tm_isdst=-1)",29
159,TextEditor_Es_4_5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=29, tm_sec=37, tm_wday=3, tm_yday=317, tm_isdst=-1)",n/a,,Es_4_5,719,5.0,0,2,0,329,64,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=29, tm_sec=30, tm_wday=3, tm_yday=317, tm_isdst=-1)",29
160,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=34, tm_sec=43, tm_wday=3, tm_yday=324, tm_isdst=-1)",3.0,,Es_5_3,3969,4.0,0,11,4,467,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=34, tm_sec=34, tm_wday=3, tm_yday=324, tm_isdst=-1)",29
161,Other,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=1, tm_sec=33, tm_wday=3, tm_yday=345, tm_isdst=-1)",n/a,,Es_6_4,1640,3.75,0,8,1,383,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=1, tm_sec=27, tm_wday=3, tm_yday=345, tm_isdst=-1)",29
162,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=36, tm_sec=19, tm_wday=3, tm_yday=275, tm_isdst=-1)",0.0,2.0,Es_1_1,2030,n/a,0,1,0,107,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=36, tm_sec=17, tm_wday=3, tm_yday=275, tm_isdst=-1)",30
163,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=57, tm_sec=22, tm_wday=3, tm_yday=289, tm_isdst=-1)",2.0,2.0,Es_2_1,5726,3.0,0,2,0,81,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=57, tm_sec=18, tm_wday=3, tm_yday=289, tm_isdst=-1)",30
164,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=18, tm_sec=6, tm_wday=3, tm_yday=296, tm_isdst=-1)",0.0,1.0,Es_3_1,156,2.0,0,2,0,64,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=18, tm_sec=5, tm_wday=3, tm_yday=296, tm_isdst=-1)",30
165,Deeds_Es_4_5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=52, tm_sec=44, tm_wday=3, tm_yday=317, tm_isdst=-1)",n/a,n/a,Es_4_5,733,4.5,0,2,0,130,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=52, tm_sec=41, tm_wday=3, tm_yday=317, tm_isdst=-1)",30
166,Diagram,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=3, tm_sec=55, tm_wday=3, tm_yday=324, tm_isdst=-1)",n/a,n/a,Es_5_4,30,4.0,0,4,0,141,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=3, tm_sec=53, tm_wday=3, tm_yday=324, tm_isdst=-1)",30
167,Other,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=3, tm_sec=13, tm_wday=3, tm_yday=345, tm_isdst=-1)",n/a,n/a,Es_6_3,1113,2.75,0,6,0,291,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=3, tm_sec=8, tm_wday=3, tm_yday=345, tm_isdst=-1)",30
168,,,,,,,0.0,,,,,,,2,,31
169,Aulaweb,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=59, tm_sec=12, tm_wday=3, tm_yday=296, tm_isdst=-1)",,,Es_3_3,500,0.5,0,2,0,79,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=59, tm_sec=10, tm_wday=3, tm_yday=296, tm_isdst=-1)",31
170,Study_Es_4_5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=32, tm_sec=6, tm_wday=3, tm_yday=317, tm_isdst=-1)",,,Es_4_5,0,4.0,0,2,0,37,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=32, tm_sec=6, tm_wday=3, tm_yday=317, tm_isdst=-1)",31
171,Aulaweb,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=43, tm_sec=7, tm_wday=3, tm_yday=324, tm_isdst=-1)",,,Es_5_4,0,3.0,0,3,0,5,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=43, tm_sec=7, tm_wday=3, tm_yday=324, tm_isdst=-1)",31
172,,,,,,,0.0,,,,,,,6,,31
173,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=2, tm_sec=21, tm_wday=3, tm_yday=275, tm_isdst=-1)",3.0,,Es_1_2,6564,n/a,0,1,0,496,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=2, tm_sec=13, tm_wday=3, tm_yday=275, tm_isdst=-1)",32
174,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=17, tm_hour=13, tm_min=45, tm_sec=57, tm_wday=4, tm_yday=290, tm_isdst=-1)",n/a,,Es_2_4,3047,5.5,0,4,0,164,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=17, tm_hour=13, tm_min=45, tm_sec=53, tm_wday=4, tm_yday=290, tm_isdst=-1)",32
175,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=44, tm_sec=43, tm_wday=3, tm_yday=296, tm_isdst=-1)",2.0,,Es_3_4,94,4.0,0,2,0,261,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=44, tm_sec=41, tm_wday=3, tm_yday=296, tm_isdst=-1)",32
176,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=45, tm_sec=19, tm_wday=3, tm_yday=317, tm_isdst=-1)",n/a,,Es_4_5,6779,5.0,0,8,2,302,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=45, tm_sec=12, tm_wday=3, tm_yday=317, tm_isdst=-1)",32
177,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=2, tm_sec=52, tm_wday=3, tm_yday=324, tm_isdst=-1)",2.0,,Es_5_1,0,4.0,0,2,0,56,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=2, tm_sec=52, tm_wday=3, tm_yday=324, tm_isdst=-1)",32
178,Other,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=0, tm_sec=39, tm_wday=3, tm_yday=345, tm_isdst=-1)",n/a,,Es_6_4,187,3.5,0,8,2,245,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=0, tm_sec=36, tm_wday=3, tm_yday=345, tm_isdst=-1)",32
179,,,,,,,0.0,,,,,,,2,,33
180,,,,,,,0.0,,,,,,,3,,33
181,Study_Es_4_5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=44, tm_sec=45, tm_wday=3, tm_yday=317, tm_isdst=-1)",,n/a,Es_4_5,0,4.0,0,2,0,20,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=44, tm_sec=45, tm_wday=3, tm_yday=317, tm_isdst=-1)",33
182,,,,,,,0.0,,,,,,,5,,33
183,,,,,,,0.0,,,,,,,6,,33
184,Blank,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=12, tm_min=42, tm_sec=5, tm_wday=3, tm_yday=275, tm_isdst=-1)",,2.0,Es_1_1,0,n/a,0,1,0,74,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=12, tm_min=42, tm_sec=5, tm_wday=3, tm_yday=275, tm_isdst=-1)",34
185,Aulaweb,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=54, tm_sec=39, tm_wday=3, tm_yday=289, tm_isdst=-1)",,n/a,Es_2_6,15,4.5,0,1,0,128,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=54, tm_sec=38, tm_wday=3, tm_yday=289, tm_isdst=-1)",34
186,TextEditor_Es_3_4,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=46, tm_sec=26, tm_wday=3, tm_yday=296, tm_isdst=-1)",,2.0,Es_3_4,1390,3.5,0,5,0,483,20,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=46, tm_sec=17, tm_wday=3, tm_yday=296, tm_isdst=-1)",34
187,Blank,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=26, tm_sec=26, tm_wday=3, tm_yday=317, tm_isdst=-1)",,n/a,Es_4_5,0,5.0,0,1,0,107,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=26, tm_sec=26, tm_wday=3, tm_yday=317, tm_isdst=-1)",34
188,Deeds_Es_5_4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=36, tm_sec=2, tm_wday=3, tm_yday=324, tm_isdst=-1)",,n/a,Es_5_4,0,3.0,0,2,0,69,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=36, tm_sec=2, tm_wday=3, tm_yday=324, tm_isdst=-1)",34
189,Other,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=12, tm_min=53, tm_sec=41, tm_wday=3, tm_yday=345, tm_isdst=-1)",,n/a,Es_6_3,0,1.25,0,1,0,62,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=12, tm_min=53, tm_sec=41, tm_wday=3, tm_yday=345, tm_isdst=-1)",34
190,,,,,,,0.5,,,,,,,2,,35
191,TextEditor_Es_3_2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=22, tm_sec=18, tm_wday=3, tm_yday=296, tm_isdst=-1)",,,Es_3_2,97898,0.5,0,4,0,134,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=22, tm_sec=2, tm_wday=3, tm_yday=296, tm_isdst=-1)",35
192,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=34, tm_sec=2, tm_wday=3, tm_yday=317, tm_isdst=-1)",,,Es_4_2,0,3.5,0,0,0,0,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=34, tm_sec=2, tm_wday=3, tm_yday=317, tm_isdst=-1)",35
193,Blank,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=21, tm_sec=43, tm_wday=3, tm_yday=324, tm_isdst=-1)",,,Es_5_4,0,3.5,0,2,0,22,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=21, tm_sec=43, tm_wday=3, tm_yday=324, tm_isdst=-1)",35
194,Blank,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=5, tm_sec=52, tm_wday=3, tm_yday=345, tm_isdst=-1)",,,Es_6_2,0,1.5,0,0,0,0,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=5, tm_sec=52, tm_wday=3, tm_yday=345, tm_isdst=-1)",35
195,TextEditor_Es_1_4,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=12, tm_min=52, tm_sec=28, tm_wday=3, tm_yday=275, tm_isdst=-1)",n/a,,Es_1_4,26587,n/a,0,0,0,100,4,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=12, tm_min=52, tm_sec=19, tm_wday=3, tm_yday=275, tm_isdst=-1)",36
196,TextEditor_Es_2_6,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=58, tm_sec=49, tm_wday=3, tm_yday=289, tm_isdst=-1)",n/a,,Es_2_6,1330,5.5,0,11,0,371,44,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=58, tm_sec=41, tm_wday=3, tm_yday=289, tm_isdst=-1)",36
197,Deeds_Es_3_4,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=10, tm_sec=33, tm_wday=3, tm_yday=296, tm_isdst=-1)",2.0,,Es_3_4,344,4.0,0,2,0,306,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=10, tm_sec=31, tm_wday=3, tm_yday=296, tm_isdst=-1)",36
198,Blank,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=49, tm_sec=45, tm_wday=3, tm_yday=317, tm_isdst=-1)",9.0,,Es_4_2,0,5.0,0,1,0,108,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=49, tm_sec=45, tm_wday=3, tm_yday=317, tm_isdst=-1)",36
199,Deeds_Es_5_4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=33, tm_sec=1, tm_wday=3, tm_yday=324, tm_isdst=-1)",n/a,,Es_5_4,0,4.0,0,3,0,0,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=33, tm_sec=1, tm_wday=3, tm_yday=324, tm_isdst=-1)",36
200,Blank,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=12, tm_sec=8, tm_wday=3, tm_yday=345, tm_isdst=-1)",n/a,,Es_6_4,2781,2.75,8,2,0,104,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=12, tm_sec=4, tm_wday=3, tm_yday=345, tm_isdst=-1)",36
201,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=12, tm_min=52, tm_sec=11, tm_wday=3, tm_yday=275, tm_isdst=-1)",n/a,n/a,Es_1_3,0,n/a,0,2,0,112,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=12, tm_min=52, tm_sec=11, tm_wday=3, tm_yday=275, tm_isdst=-1)",37
202,,,,,,,0.0,,,,,,,2,,37
203,,,,,,,0.0,,,,,,,3,,37
204,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=26, tm_sec=39, tm_wday=3, tm_yday=317, tm_isdst=-1)",n/a,n/a,Es_4_5,110,4.5,0,2,0,69,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=26, tm_sec=38, tm_wday=3, tm_yday=317, tm_isdst=-1)",37
205,Blank,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=4, tm_sec=57, tm_wday=3, tm_yday=324, tm_isdst=-1)",0.0,0.0,Es_5_1,0,3.5,0,1,0,99,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=4, tm_sec=57, tm_wday=3, tm_yday=324, tm_isdst=-1)",37
206,TextEditor_Es_6_3,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=43, tm_sec=44, tm_wday=3, tm_yday=345, tm_isdst=-1)",n/a,n/a,Es_6_3,82831,3.0,0,4,0,660,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=43, tm_sec=19, tm_wday=3, tm_yday=345, tm_isdst=-1)",37
207,TextEditor,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=34, tm_sec=53, tm_wday=3, tm_yday=275, tm_isdst=-1)",,n/a,Es_1_3,78850,n/a,0,8,0,424,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=34, tm_sec=27, tm_wday=3, tm_yday=275, tm_isdst=-1)",38
208,Aulaweb,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=8, tm_sec=38, tm_wday=3, tm_yday=289, tm_isdst=-1)",,n/a,Es_2_4,0,4.0,0,0,0,102,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=8, tm_sec=38, tm_wday=3, tm_yday=289, tm_isdst=-1)",38
209,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=25, tm_sec=34, tm_wday=3, tm_yday=296, tm_isdst=-1)",,2.0,Es_3_3,60,2.5,0,4,0,358,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=25, tm_sec=29, tm_wday=3, tm_yday=296, tm_isdst=-1)",38
210,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=25, tm_sec=51, tm_wday=3, tm_yday=317, tm_isdst=-1)",,n/a,Es_4_5,16,4.5,0,0,0,125,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=25, tm_sec=50, tm_wday=3, tm_yday=317, tm_isdst=-1)",38
211,TextEditor_Es_5_3,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=57, tm_sec=50, tm_wday=3, tm_yday=324, tm_isdst=-1)",,1.5,Es_5_3,1981,3.5,0,0,0,0,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=57, tm_sec=43, tm_wday=3, tm_yday=324, tm_isdst=-1)",38
212,Aulaweb,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=49, tm_sec=46, tm_wday=3, tm_yday=345, tm_isdst=-1)",,n/a,Es_6_3,1806,3.0,0,2,0,445,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=49, tm_sec=38, tm_wday=3, tm_yday=345, tm_isdst=-1)",38
213,Study_Es_1_4,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=9, tm_sec=9, tm_wday=3, tm_yday=275, tm_isdst=-1)",n/a,n/a,Es_1_4,0,n/a,0,2,0,68,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=9, tm_sec=9, tm_wday=3, tm_yday=275, tm_isdst=-1)",39
214,Blank,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=2, tm_sec=44, tm_wday=3, tm_yday=289, tm_isdst=-1)",n/a,n/a,Es_2_5,0,3.0,0,2,0,68,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=2, tm_sec=44, tm_wday=3, tm_yday=289, tm_isdst=-1)",39
215,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=53, tm_sec=40, tm_wday=3, tm_yday=296, tm_isdst=-1)",0.0,1.0,Es_3_1,116705,1.0,87,18,2,1059,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=53, tm_sec=7, tm_wday=3, tm_yday=296, tm_isdst=-1)",39
216,TextEditor_Es_4_1,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=32, tm_sec=32, tm_wday=3, tm_yday=317, tm_isdst=-1)",3.0,15.0,Es_4_1,1899905,4.5,467,10,0,958,57,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=30, tm_sec=36, tm_wday=3, tm_yday=317, tm_isdst=-1)",39
217,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=5, tm_sec=57, tm_wday=3, tm_yday=324, tm_isdst=-1)",n/a,n/a,Es_5_4,19408,3.5,42,16,2,794,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=5, tm_sec=39, tm_wday=3, tm_yday=324, tm_isdst=-1)",39
218,Other,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=57, tm_sec=55, tm_wday=3, tm_yday=345, tm_isdst=-1)",n/a,n/a,Es_6_3,16,2.5,0,4,0,119,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=57, tm_sec=54, tm_wday=3, tm_yday=345, tm_isdst=-1)",39
219,,,,,,,0.0,,,,,,,2,,40
220,,,,,,,0.0,,,,,,,3,,40
221,Deeds_Es_4_5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=52, tm_sec=55, tm_wday=3, tm_yday=317, tm_isdst=-1)",,,Es_4_5,0,3.0,0,2,0,29,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=52, tm_sec=55, tm_wday=3, tm_yday=317, tm_isdst=-1)",40
222,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=5, tm_sec=57, tm_wday=3, tm_yday=324, tm_isdst=-1)",,,Es_5_4,6497,2.5,0,4,0,201,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=5, tm_sec=50, tm_wday=3, tm_yday=324, tm_isdst=-1)",40
223,,,,,,,0.0,,,,,,,6,,40
224,TextEditor_Es_2_4,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=0, tm_sec=27, tm_wday=3, tm_yday=289, tm_isdst=-1)",n/a,,Es_2_4,374,5.5,0,2,0,316,37,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=0, tm_sec=23, tm_wday=3, tm_yday=289, tm_isdst=-1)",41
225,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=54, tm_sec=16, tm_wday=3, tm_yday=296, tm_isdst=-1)",2.0,,Es_3_4,2260,4.0,44,13,2,603,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=54, tm_sec=4, tm_wday=3, tm_yday=296, tm_isdst=-1)",41
226,Deeds_Es_4_5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=32, tm_sec=28, tm_wday=3, tm_yday=317, tm_isdst=-1)",n/a,,Es_4_5,0,5.0,0,2,0,21,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=32, tm_sec=28, tm_wday=3, tm_yday=317, tm_isdst=-1)",41
227,TextEditor_Es_5_4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=17, tm_sec=2, tm_wday=3, tm_yday=324, tm_isdst=-1)",n/a,,Es_5_4,0,4.0,0,2,0,118,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=17, tm_sec=1, tm_wday=3, tm_yday=324, tm_isdst=-1)",41
